conv,recov,abst,redes
0.18660549686337083,0.004504614696641458,0.011930457848829528,0.015950051932194165
0.011930457848829528,0.9754107359733813,0.9880695421511705,0.14595776020489173
0.011930457848829528,0.676144579454606,0.9880695421511705,0.14595776020489173
0.011930457848829528,0.9754107359733813,0.9880695421511705,0.14595776020489173
0.9880695421511705,0.9009949893028829,0.8133945031366292,0.14595776020489173
0.9880695421511705,0.9754107359733813,0.8133945031366292,0.3568900862574021
0.8133945031366292,0.011930457848829528,6.350970432584607e-4,0.3568900862574021
0.8133945031366292,0.9754107359733813,0.9880695421511705,0.3568900862574021
0.18660549686337083,0.9942498821399177,0.9880695421511705,0.676144579454606
0.8133945031366292,0.37971929814130595,0.18660549686337083,0.3568900862574021
0.011930457848829528,0.9754107359733813,0.9880695421511705,0.3568900862574021
0.9880695421511705,0.18660549686337083,0.18660549686337083,0.676144579454606
0.011930457848829528,0.9754107359733813,0.9880695421511705,0.676144579454606
0.9880695421511705,0.9754107359733813,6.350970432584607e-4,0.676144579454606
0.9880695421511705,0.9754107359733813,0.8133945031366292,0.676144579454606
0.011930457848829528,0.9942498821399177,0.9880695421511705,0.676144579454606
0.011930457848829528,0.676144579454606,0.8133945031366292,0.676144579454606
0.011930457848829528,0.37971929814130595,0.18660549686337083,0.676144579454606
0.8133945031366292,0.37971929814130595,0.011930457848829528,0.676144579454606
0.9880695421511705,0.9009949893028829,0.011930457848829528,0.676144579454606
0.9880695421511705,0.9009949893028829,0.8133945031366292,0.676144579454606
0.8133945031366292,0.18660549686337083,0.011930457848829528,0.9009949893028829
0.011930457848829528,0.9009949893028829,0.9880695421511705,0.9754107359733813
0.9880695421511705,0.9942498821399177,6.350970432584607e-4,0.9754107359733813
